chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
chr1	73	+	CHH	0.000	3.00	0	3	1	1	0.000	0.562
chr1	76	+	CHH	0.000	3.00	0	3	2	2	0.000	0.562
chr1	77	+	CHH	0.000	3.00	0	3	2	2	0.000	0.562
chr1	80	-	CHH	0.333	3.00	1	3	3	3	0.061	0.792
chr1	84	+	CHH	0.000	3.00	0	3	3	3	0.000	0.562
chr1	85	+	CHH	0.000	3.00	0	3	4	4	0.000	0.562
chr1	86	+	CHH	0.889	2.25	2	3	3	4	0.294	0.994
chr1	93	+	CHH	0.000	6.00	0	6	5	5	0.000	0.390
chr1	94	+	CHH	0.000	6.00	0	6	5	5	0.000	0.390
chr1	100	+	CHH	0.125	8.00	1	8	6	6	0.022	0.471
chr1	101	+	CHH	0.125	8.00	1	8	6	6	0.022	0.471
chr1	102	+	CHH	0.111	9.00	1	9	6	6	0.020	0.435
chr1	107	+	CHH	0.000	8.00	0	9	8	9	0.000	0.324
chr1	108	+	CHG	0.750	8.00	6	9	8	9	0.409	0.929
chr1	109	+	CG	0.875	8.00	7	9	8	9	0.529	0.978
chr1	110	-	CG	1.000	5.00	5	5	6	6	0.566	1.000
chr1	114	+	CHG	0.444	9.00	4	9	9	9	0.189	0.733
chr1	115	+	CG	1.000	9.00	9	9	9	9	0.701	1.000
chr1	116	-	CG	1.000	9.00	9	9	10	10	0.701	1.000
chr1	117	-	CHG	0.333	9.00	3	9	10	10	0.121	0.646
chr1	121	+	CHH	0.200	10.00	2	10	10	10	0.057	0.510
chr1	123	+	CHG	1.000	10.00	10	10	10	10	0.722	1.000
chr1	125	-	CHG	0.818	11.00	9	11	11	11	0.523	0.949
chr1	126	-	CHH	0.545	11.00	6	11	11	11	0.280	0.787
chr1	129	-	CHH	0.357	14.00	5	14	11	11	0.163	0.612
chr1	135	+	CHH	0.333	12.00	4	12	18	18	0.138	0.609
chr1	139	-	CHH	0.300	20.00	6	20	12	12	0.145	0.519
chr1	141	-	CHH	0.381	21.00	8	21	13	13	0.208	0.591
chr1	150	-	CHH	0.542	24.00	13	24	18	18	0.351	0.721
chr1	161	+	CG	0.842	19.00	16	19	26	26	0.624	0.945
chr1	162	-	CG	0.962	26.00	25	26	19	19	0.811	0.993
chr1	170	-	CHH	0.355	31.00	11	31	19	19	0.211	0.531
chr1	176	-	CHH	0.613	31.00	19	31	20	20	0.438	0.763
chr1	177	+	CHH	0.250	20.00	5	20	31	31	0.112	0.469
chr1	183	-	CHH	0.844	32.00	27	32	20	20	0.682	0.931
chr1	186	-	CHH	0.727	33.00	24	33	20	20	0.558	0.849
chr1	188	-	CHH	0.676	34.00	23	34	21	21	0.508	0.809
chr1	190	-	CHH	0.588	34.00	20	34	22	22	0.422	0.736
chr1	193	-	CHH	0.529	34.00	18	34	22	22	0.367	0.685
chr1	209	+	CHH	0.000	13.32	0	23	22	38	0.000	0.224
chr1	214	-	CHH	0.514	37.00	19	37	23	23	0.359	0.666
chr1	216	-	CHH	0.316	38.00	12	38	23	23	0.191	0.475
chr1	217	-	CHH	0.316	38.00	12	38	23	23	0.191	0.475
chr1	219	+	CHH	0.304	23.00	7	23	38	38	0.156	0.509
chr1	224	+	CHH	0.364	22.00	8	22	39	39	0.197	0.570
chr1	229	+	CHH	0.333	21.00	7	21	38	38	0.172	0.546
chr1	230	+	CHH	0.364	22.00	8	22	37	37	0.197	0.570
chr1	236	+	CHH	0.261	23.00	6	23	37	37	0.125	0.465
chr1	239	-	CHH	0.497	32.17	16	37	20	23	0.334	0.661
chr1	241	-	CHH	0.064	15.65	1	19	14	17	0.011	0.288
chr1	242	-	CHH	0.536	31.71	17	37	18	21	0.368	0.696
chr1	247	+	CHH	0.333	18.00	6	18	37	37	0.163	0.563
chr1	251	+	CHH	0.333	18.00	6	18	36	36	0.163	0.563
chr1	252	+	CHH	0.278	18.00	5	18	36	36	0.125	0.509
chr1	255	+	CHH	0.389	18.00	7	18	34	34	0.203	0.614
chr1	257	+	CHH	0.368	19.00	7	19	33	33	0.191	0.590
chr1	261	-	CHH	0.394	33.00	13	33	19	19	0.247	0.563
chr1	262	+	CHH	0.474	19.00	9	19	33	33	0.273	0.683
chr1	266	-	CHH	0.424	33.00	14	33	18	18	0.272	0.592
chr1	267	-	CHH	0.436	32.11	14	34	17	18	0.281	0.605
chr1	270	-	CHH	0.343	35.00	12	35	17	17	0.208	0.508
chr1	271	-	CHH	0.257	35.00	9	35	18	18	0.142	0.421
chr1	277	+	CHH	0.294	17.00	5	17	35	35	0.133	0.531
chr1	280	+	CHH	0.235	17.00	4	17	32	32	0.096	0.473
chr1	285	-	CHH	0.379	29.00	11	29	16	16	0.227	0.560
chr1	293	-	CHH	0.360	25.00	9	25	14	14	0.202	0.555
chr1	294	-	CHH	0.320	25.00	8	25	14	14	0.172	0.516
chr1	298	+	CHH	0.364	11.00	4	11	26	26	0.152	0.646
chr1	301	-	CHH	0.360	25.00	9	25	9	9	0.202	0.555
chr1	302	+	CHH	0.000	3.96	0	9	11	25	0.000	0.492
chr1	306	-	CHH	0.292	24.00	7	24	9	9	0.149	0.492
chr1	307	+	CHH	0.500	8.00	4	8	24	24	0.215	0.785
chr1	310	+	CG	0.750	8.00	6	8	26	26	0.409	0.929
chr1	311	-	CG	0.385	26.00	10	26	8	8	0.224	0.575
chr1	314	+	CHH	0.578	8.65	5	9	25	26	0.279	0.829
chr1	317	+	CHH	0.000	9.00	0	9	23	23	0.000	0.299
chr1	322	-	CHH	0.273	22.00	6	22	9	9	0.132	0.482
chr1	323	-	CHH	0.190	21.00	4	21	8	8	0.077	0.400
chr1	324	-	CHH	0.143	21.00	3	21	8	8	0.050	0.346
chr1	328	-	CHH	0.182	22.00	4	22	8	8	0.073	0.385
chr1	330	-	CHH	0.136	22.00	3	22	8	8	0.047	0.333
chr1	332	-	CHH	0.045	22.00	1	22	9	9	0.008	0.218
chr1	334	+	CHH	0.000	9.00	0	9	22	22	0.000	0.299
chr1	336	+	CHH	0.000	9.00	0	9	22	22	0.000	0.299
chr1	342	-	CHH	0.227	22.00	5	22	7	7	0.101	0.434
chr1	346	+	CHH	0.000	7.00	0	7	23	23	0.000	0.354
chr1	347	+	CHH	0.000	7.00	0	7	22	22	0.000	0.354
chr1	351	-	CHH	0.150	20.00	3	20	7	7	0.052	0.360
chr1	352	-	CHH	0.150	20.00	3	20	8	8	0.052	0.360
chr1	353	-	CHH	0.150	20.00	3	20	8	8	0.052	0.360
chr1	356	-	CHH	0.095	21.00	2	21	7	7	0.027	0.289
chr1	357	-	CHH	0.100	20.00	2	20	8	8	0.028	0.301
chr1	363	+	CHH	0.131	7.62	1	8	20	21	0.024	0.486
chr1	365	+	CHH	0.000	7.64	0	8	21	22	-0.000	0.335
chr1	368	-	CHH	0.143	21.00	3	21	8	8	0.050	0.346
chr1	372	+	CHH	0.000	9.00	0	9	20	20	0.000	0.299
chr1	382	-	CHH	0.095	21.00	2	21	8	8	0.027	0.289
chr1	386	-	CHH	0.158	19.00	3	19	8	8	0.055	0.376
chr1	387	-	CHH	0.105	19.00	2	19	8	8	0.029	0.314
chr1	389	+	CHG	0.000	7.00	0	7	19	19	0.000	0.354
chr1	391	-	CHG	0.150	20.00	3	20	7	7	0.052	0.360
chr1	397	-	CHH	0.050	20.00	1	20	8	8	0.009	0.236
chr1	401	-	CHH	0.050	20.00	1	20	9	9	0.009	0.236
chr1	402	-	CHH	0.100	20.00	2	20	9	9	0.028	0.301
chr1	404	+	CHH	0.000	9.00	0	9	20	20	0.000	0.299
chr1	412	-	CHH	0.200	20.00	4	20	8	8	0.081	0.416
chr1	414	+	CHH	0.000	8.00	0	8	21	21	0.000	0.324
chr1	418	+	CHH	0.000	8.00	0	8	20	20	0.000	0.324
chr1	422	+	CHH	0.000	10.00	0	10	18	18	-0.000	0.278
chr1	424	+	CHH	0.000	10.00	0	10	16	16	-0.000	0.278
chr1	425	+	CHH	0.000	10.00	0	10	17	17	-0.000	0.278
chr1	429	-	CHH	0.176	17.00	3	17	10	10	0.062	0.410
chr1	431	-	CHH	0.176	17.00	3	17	10	10	0.062	0.410
chr1	432	-	CHH	0.176	17.00	3	17	10	10	0.062	0.410
chr1	437	-	CHH	0.176	17.00	3	17	11	11	0.062	0.410
chr1	441	-	CHH	0.118	17.00	2	17	12	12	0.033	0.343
chr1	444	+	CHH	0.000	12.00	0	12	17	17	0.000	0.243
chr1	448	+	CHH	0.083	12.00	1	12	16	16	0.015	0.354
chr1	456	+	CHH	0.000	12.00	0	12	16	16	0.000	0.243
chr1	461	-	CHH	0.417	12.00	5	12	12	12	0.193	0.680
chr1	463	-	CHH	0.083	12.00	1	12	11	11	0.015	0.354
chr1	464	-	CHH	0.306	6.55	2	12	6	11	0.088	0.667
chr1	465	-	CHH	0.167	12.00	2	12	11	11	0.047	0.448
chr1	477	-	CHH	0.083	12.00	1	12	10	10	0.015	0.354
chr1	480	-	CHH	0.364	11.00	4	11	10	10	0.152	0.646
chr1	483	-	CHH	0.182	11.00	2	11	9	9	0.051	0.477
chr1	484	-	CHH	0.000	11.00	0	11	9	9	0.000	0.259
chr1	485	-	CHH	0.000	10.00	0	10	9	9	-0.000	0.278
chr1	488	-	CHH	0.111	9.00	1	9	9	9	0.020	0.435
chr1	491	-	CHH	0.000	10.00	0	10	9	9	-0.000	0.278
chr1	493	+	CHH	0.000	9.00	0	9	10	10	0.000	0.299
chr1	497	+	CHH	0.000	9.00	0	9	9	9	0.000	0.299
chr1	500	+	CG	0.333	9.00	3	9	9	9	0.121	0.646
chr1	501	-	CG	0.667	9.00	6	9	9	9	0.354	0.879
chr1	504	-	CHH	0.375	8.00	3	8	8	8	0.137	0.694
chr1	507	-	CHH	0.125	8.00	1	8	7	7	0.022	0.471
chr1	511	+	CG	0.429	7.00	3	7	7	7	0.158	0.750
chr1	512	-	CG	0.667	6.00	4	6	8	8	0.300	0.903
chr1	513	+	CHH	0.000	8.00	0	8	7	7	0.000	0.324
chr1	516	-	CHH	0.000	7.00	0	7	8	8	0.000	0.354
chr1	518	+	CHH	0.000	8.00	0	8	8	8	0.000	0.324
chr1	521	+	CHH	0.000	8.00	0	8	9	9	0.000	0.324
chr1	523	+	CHH	0.000	8.00	0	8	9	9	0.000	0.324
chr1	526	+	CHH	0.000	9.00	0	9	9	9	0.000	0.299
chr1	528	+	CHH	0.000	9.00	0	9	8	8	0.000	0.299
chr1	530	+	CHH	0.000	9.00	0	9	8	8	0.000	0.299
chr1	534	-	CHH	0.000	8.00	0	8	9	9	0.000	0.324
chr1	539	-	CHH	0.000	6.22	0	8	7	9	0.000	0.382
chr1	540	-	CHH	0.000	8.00	0	8	10	10	0.000	0.324
chr1	541	-	CHH	0.000	6.00	0	6	10	10	0.000	0.390
chr1	544	-	CHH	0.000	7.00	0	7	10	10	0.000	0.354
chr1	545	-	CHH	0.000	7.00	0	7	9	9	0.000	0.354
chr1	547	+	CHH	0.000	8.00	0	8	7	7	0.000	0.324
chr1	548	+	CHH	0.000	8.00	0	8	7	7	0.000	0.324
chr1	553	-	CHH	0.143	7.00	1	7	8	8	0.026	0.513
chr1	554	+	CHH	0.000	8.00	0	8	7	7	0.000	0.324
chr1	562	+	CHG	0.000	8.00	0	8	7	7	0.000	0.324
chr1	564	-	CHG	0.286	7.00	2	7	8	8	0.082	0.641
chr1	567	-	CHH	0.000	7.00	0	7	8	8	0.000	0.354
chr1	570	+	CHH	0.000	7.00	0	7	7	7	0.000	0.354
chr1	573	+	CHG	0.000	6.00	0	6	7	7	0.000	0.390
chr1	575	-	CHG	0.833	4.80	4	6	4	5	0.396	0.974
chr1	576	+	CHH	0.000	6.00	0	6	6	6	0.000	0.390
chr1	579	-	CHH	0.200	5.00	1	6	5	6	0.036	0.624
chr1	582	-	CHH	0.200	5.00	1	6	5	6	0.036	0.624
chr1	590	+	CHH	0.000	5.00	0	5	7	7	-0.000	0.434
chr1	591	+	CHH	0.000	4.00	0	4	8	8	0.000	0.490
chr1	595	-	CHH	0.143	7.00	1	7	4	4	0.026	0.513
chr1	596	+	CHH	0.000	4.00	0	4	7	7	0.000	0.490
chr1	597	+	CHH	0.000	4.00	0	4	7	7	0.000	0.490
chr1	602	-	CHH	0.143	7.00	1	7	4	4	0.026	0.513
chr1	603	-	CHH	0.143	7.00	1	7	4	4	0.026	0.513
chr1	607	-	CHH	0.429	7.00	3	7	4	4	0.158	0.750
chr1	608	-	CHH	0.143	7.00	1	7	4	4	0.026	0.513
chr1	610	-	CHH	0.143	7.00	1	7	4	4	0.026	0.513
chr1	611	-	CHH	0.143	7.00	1	7	4	4	0.026	0.513
chr1	615	-	CHH	0.714	7.00	5	7	4	4	0.359	0.918
chr1	618	-	CHH	0.143	7.00	1	7	5	5	0.026	0.513
chr1	620	+	CHH	0.200	5.00	1	5	7	7	0.036	0.624
chr1	622	+	CHH	0.000	5.00	0	5	8	8	-0.000	0.434
chr1	625	+	CHH	0.000	5.00	0	5	8	8	-0.000	0.434
chr1	630	+	CHH	0.000	6.00	0	6	8	8	0.000	0.390
chr1	637	-	CHH	0.125	8.00	1	8	6	6	0.022	0.471
chr1	638	+	CHH	0.000	6.00	0	6	8	8	0.000	0.390
chr1	642	+	CG	1.000	6.00	6	6	7	7	0.610	1.000
chr1	643	-	CG	1.000	7.00	7	7	6	6	0.646	1.000
chr1	644	+	CHH	0.000	6.00	0	6	7	7	0.000	0.390
chr1	645	+	CHH	0.000	6.00	0	6	7	7	0.000	0.390
chr1	647	+	CG	0.667	6.00	4	6	7	7	0.300	0.903
chr1	648	-	CG	1.000	7.00	7	7	6	6	0.646	1.000
chr1	650	+	CG	0.667	6.00	4	6	7	7	0.300	0.903
chr1	651	-	CG	1.000	7.00	7	7	6	6	0.646	1.000
chr1	654	-	CHH	0.286	7.00	2	7	7	7	0.082	0.641
chr1	655	+	CHH	0.143	7.00	1	7	7	7	0.026	0.513
chr1	657	+	CHH	0.125	8.00	1	8	7	7	0.022	0.471
chr1	663	+	CHH	0.000	7.00	0	7	6	6	0.000	0.354
chr1	667	+	CHH	0.000	7.00	0	7	5	5	0.000	0.354
chr1	668	+	CHH	0.000	7.00	0	7	5	5	0.000	0.354
chr1	671	-	CHH	0.250	4.00	1	4	6	6	0.046	0.699
chr1	674	-	CHH	0.200	5.00	1	5	6	6	0.036	0.624
chr1	675	+	CHH	0.000	6.00	0	6	5	5	0.000	0.390
chr1	677	+	CHH	0.000	6.00	0	6	5	5	0.000	0.390
chr1	679	+	CHH	0.000	6.00	0	6	5	5	0.000	0.390
chr1	685	-	CHH	0.167	6.00	1	6	6	6	0.030	0.564
chr1	686	-	CHH	0.000	6.00	0	6	6	6	0.000	0.390
chr1	687	+	CHH	0.000	6.00	0	6	6	6	0.000	0.390
chr1	689	+	CHH	0.000	6.00	0	6	6	6	0.000	0.390
chr1	691	+	CHH	0.400	5.00	2	5	6	6	0.118	0.769
chr1	698	-	CHH	0.000	4.29	0	6	5	7	0.000	0.473
chr1	707	-	CHH	0.286	7.00	2	7	8	8	0.082	0.641
chr1	710	-	CHH	0.000	7.00	0	7	9	9	0.000	0.354
chr1	714	-	CHH	0.000	7.00	0	7	9	9	0.000	0.354
chr1	719	-	CHH	0.111	9.00	1	9	9	9	0.020	0.435
chr1	720	+	CHH	0.333	9.00	3	9	9	9	0.121	0.646
chr1	723	+	CHH	0.333	9.00	3	9	9	9	0.121	0.646
chr1	727	-	CHH	0.182	11.00	2	11	10	10	0.051	0.477
chr1	730	-	CHH	0.000	13.00	0	13	12	12	0.000	0.228
chr1	733	-	CHH	0.000	14.00	0	14	13	13	0.000	0.215
chr1	737	+	CHH	0.308	13.00	4	13	15	15	0.127	0.576
chr1	739	+	CHH	0.385	13.00	5	13	16	16	0.177	0.645
chr1	743	-	CHH	0.133	15.00	2	15	13	13	0.037	0.379
chr1	744	+	CHH	0.462	13.00	6	13	15	15	0.232	0.709
chr1	751	+	CHH	0.385	13.00	5	13	16	16	0.177	0.645
chr1	752	+	CHH	0.385	13.00	5	13	16	16	0.177	0.645
chr1	754	+	CHH	0.385	13.00	5	13	17	17	0.177	0.645
chr1	763	-	CHH	0.316	19.00	6	19	13	13	0.154	0.540
chr1	765	-	CHH	0.000	20.00	0	20	13	13	-0.000	0.161
chr1	767	-	CHH	0.000	20.00	0	20	12	12	-0.000	0.161
chr1	772	-	CHH	0.095	21.00	2	21	13	13	0.027	0.289
chr1	773	-	CHH	0.000	21.00	0	21	13	13	0.000	0.155
chr1	776	-	CHH	0.048	21.00	1	21	12	12	0.008	0.227
chr1	780	+	CHH	0.538	13.00	7	13	21	21	0.291	0.768
chr1	783	-	CHH	0.050	20.00	1	20	13	13	0.009	0.236
chr1	785	+	CHH	0.615	13.00	8	13	22	22	0.355	0.823
chr1	788	+	CHH	0.538	13.00	7	13	22	22	0.291	0.768
chr1	790	+	CG	0.846	13.00	11	13	23	23	0.578	0.957
chr1	791	-	CG	0.958	24.00	23	24	14	14	0.798	0.993
chr1	792	-	CHG	0.750	24.00	18	24	14	14	0.551	0.880
chr1	795	+	CHG	0.857	14.00	12	14	25	25	0.601	0.960
chr1	797	-	CHG	0.846	26.00	22	26	14	14	0.665	0.939
chr1	798	+	CHH	0.500	14.00	7	14	26	26	0.268	0.732
chr1	802	-	CHH	0.154	26.00	4	26	17	17	0.061	0.335
chr1	805	+	CHH	0.500	16.00	8	16	26	26	0.280	0.720
chr1	808	+	CHG	0.600	15.00	9	15	27	27	0.357	0.802
chr1	809	+	CG	0.867	15.00	13	15	27	27	0.621	0.963
chr1	810	-	CG	0.857	28.00	24	28	15	15	0.685	0.943
chr1	811	+	CHH	0.333	15.00	5	15	28	28	0.152	0.583
chr1	812	+	CHG	0.933	15.00	14	15	28	28	0.702	0.988
chr1	814	-	CHG	0.893	28.00	25	28	15	15	0.728	0.963
chr1	824	+	CHH	0.235	17.00	4	17	28	28	0.096	0.473
chr1	825	+	CHH	0.353	17.00	6	17	29	29	0.173	0.587
chr1	832	+	CHH	0.333	18.00	6	18	29	29	0.163	0.563
chr1	833	+	CHH	0.483	12.41	6	18	20	29	0.244	0.730
chr1	837	-	CHH	0.143	28.00	4	28	18	18	0.057	0.315
chr1	839	+	CG	0.944	18.00	17	18	28	28	0.742	0.990
chr1	840	-	CG	0.929	28.00	26	28	19	19	0.774	0.980
chr1	843	-	CHH	0.500	30.00	15	30	19	19	0.332	0.668
chr1	850	-	CHH	0.333	30.00	10	30	19	19	0.192	0.512
chr1	851	-	CHH	0.300	30.00	9	30	20	20	0.167	0.479
chr1	856	+	CHG	0.950	20.00	19	20	29	29	0.764	0.991
chr1	858	-	CHG	0.724	29.00	21	29	18	18	0.543	0.853
chr1	862	-	CHH	0.200	30.00	6	30	18	18	0.095	0.373
chr1	864	+	CHH	0.500	18.00	9	18	30	30	0.290	0.710
chr1	867	+	CHH	0.389	18.00	7	18	30	30	0.203	0.614
chr1	869	+	CHH	0.500	18.00	9	18	28	28	0.290	0.710
chr1	875	+	CHH	0.421	19.00	8	19	27	27	0.231	0.637
chr1	878	+	CHH	0.502	11.96	6	17	19	27	0.255	0.748
chr1	880	+	CHH	0.250	16.00	4	16	25	25	0.102	0.495
chr1	901	-	CHH	0.100	20.00	2	20	17	17	0.028	0.301
chr1	904	+	CG	0.889	18.00	16	18	19	19	0.672	0.969
chr1	905	-	CG	0.889	18.00	16	18	18	18	0.672	0.969
chr1	907	+	CHH	0.333	18.00	6	18	18	18	0.163	0.563
chr1	909	+	CHH	0.278	18.00	5	18	18	18	0.125	0.509
chr1	911	+	CG	0.778	18.00	14	18	17	17	0.548	0.910
chr1	912	-	CG	0.882	17.00	15	17	19	19	0.657	0.967
chr1	917	+	CHH	0.211	19.00	4	19	16	16	0.085	0.433
chr1	919	+	CHH	0.333	18.00	6	18	16	16	0.163	0.563
chr1	927	+	CHG	0.611	18.00	11	18	14	14	0.386	0.797
chr1	929	-	CHG	0.500	14.00	7	14	18	18	0.268	0.732
chr1	935	+	CHH	0.471	17.00	8	17	13	13	0.262	0.690
chr1	938	+	CHH	0.316	19.00	6	19	13	13	0.154	0.540
chr1	940	+	CHH	0.158	19.00	3	19	12	12	0.055	0.376
chr1	946	+	CHH	0.222	18.00	4	18	10	10	0.090	0.452
chr1	947	+	CHG	0.263	19.00	5	19	9	9	0.118	0.488
chr1	948	+	CG	0.556	18.00	10	18	9	9	0.337	0.754
chr1	949	-	CG	0.889	9.00	8	9	18	18	0.565	0.980
chr1	955	+	CHH	0.062	16.00	1	16	9	9	0.011	0.283
chr1	956	+	CHH	0.000	16.00	0	16	8	8	0.000	0.194
chr1	957	+	CHH	0.062	16.00	1	16	8	8	0.011	0.283
chr1	959	+	CHH	0.125	16.00	2	16	8	8	0.035	0.360
chr1	963	+	CHH	0.000	16.00	0	16	7	7	0.000	0.194
chr1	968	-	CHH	0.000	6.00	0	6	15	15	0.000	0.390
chr1	969	+	CHH	0.071	14.00	1	14	6	6	0.013	0.315
chr1	973	+	CHH	0.286	14.00	4	14	6	6	0.117	0.546
chr1	979	-	CHH	0.000	5.00	0	5	14	14	-0.000	0.434
chr1	980	+	CHH	0.000	14.00	0	14	5	5	0.000	0.215
chr1	985	-	CHH	0.000	5.00	0	5	13	13	-0.000	0.434
chr1	991	-	CHH	0.000	4.00	0	4	13	13	0.000	0.490
chr1	993	+	CHH	0.231	13.00	3	13	3	3	0.082	0.503
chr1	996	+	CHH	0.000	13.00	0	13	3	3	0.000	0.228
chr1	1001	-	CHH	0.667	3.00	2	3	11	11	0.208	0.939
chr1	1002	-	CHH	0.667	3.00	2	3	12	12	0.208	0.939
chr1	1016	-	CHH	1.000	1.00	1	1	12	12	0.207	1.000
chr1	1019	-	CHH	0.000	1.00	0	1	12	12	0.000	0.793
chr1	1024	+	CHH	0.000	11.00	0	11	1	1	0.000	0.259
chr1	1025	+	CHH	0.000	11.00	0	11	1	1	0.000	0.259
chr1	1027	+	CHH	0.000	11.00	0	11	0	0	0.000	0.259
chr1	1034	+	CHH	0.000	10.00	0	10	0	0	-0.000	0.278
chr1	1042	+	CHH	0.000	9.00	0	9	0	0	0.000	0.299
chr1	1047	-	CHH	0.000	1.00	0	1	10	10	0.000	0.793
chr1	1050	-	CHH	0.000	1.00	0	1	11	11	0.000	0.793
chr1	1051	+	CHG	0.091	11.00	1	11	1	1	0.016	0.377
chr1	1053	-	CHG	0.000	1.00	0	1	11	11	0.000	0.793
chr1	1057	-	CHH	0.000	1.00	0	1	10	10	0.000	0.793
chr1	1059	-	CHH	0.000	1.00	0	1	10	10	0.000	0.793
chr1	1060	-	CHH	0.000	1.00	0	1	10	10	0.000	0.793
chr1	1061	+	CHH	0.000	10.00	0	10	1	1	-0.000	0.278
chr1	1064	+	CHH	0.111	9.00	1	9	0	0	0.020	0.435
chr1	1066	+	CHH	0.000	9.00	0	9	1	1	0.000	0.299
chr1	1067	+	CHH	0.000	9.00	0	9	1	1	0.000	0.299
chr1	1068	+	CHH	0.000	9.00	0	9	1	1	0.000	0.299
chr1	1069	+	CHH	0.000	10.00	0	10	1	1	-0.000	0.278
chr1	1070	+	CHH	0.000	9.00	0	9	1	1	0.000	0.299
chr1	1071	+	CHH	0.000	9.00	0	9	1	1	0.000	0.299
chr1	1073	+	CHH	0.000	9.00	0	9	2	2	0.000	0.299
chr1	1074	+	CHH	0.111	9.00	1	9	2	2	0.020	0.435
chr1	1076	+	CHH	0.000	9.00	0	9	3	3	0.000	0.299
chr1	1077	+	CHH	0.000	9.00	0	9	3	3	0.000	0.299
chr1	1078	+	CHH	0.000	10.00	0	10	4	4	-0.000	0.278
chr1	1079	+	CHH	0.000	9.00	0	9	6	6	0.000	0.299
chr1	1080	+	CHH	0.000	10.00	0	10	5	5	-0.000	0.278
chr1	1081	+	CHH	0.000	11.00	0	11	6	6	0.000	0.259
chr1	1082	+	CHH	0.000	11.00	0	11	6	6	0.000	0.259
chr1	1083	+	CHH	0.000	11.00	0	11	6	6	0.000	0.259
chr1	1084	+	CHH	0.000	11.00	0	11	6	6	0.000	0.259
chr1	1085	+	CHH	0.000	11.00	0	11	6	6	0.000	0.259
chr1	1086	+	CHH	0.000	10.00	0	10	6	6	-0.000	0.278
chr1	1087	+	CHH	0.000	10.00	0	10	5	5	-0.000	0.278
chr1	1088	+	CHH	0.000	10.00	0	10	7	7	-0.000	0.278
chr1	1089	+	CHH	0.000	10.00	0	10	7	7	-0.000	0.278
chr1	1090	+	CHH	0.000	10.00	0	10	7	7	-0.000	0.278
chr1	1092	+	CHH	0.000	7.88	0	9	7	8	-0.000	0.328
chr1	1093	+	CHH	0.000	9.00	0	9	7	7	0.000	0.299
chr1	1094	+	CHH	0.000	7.88	0	9	7	8	-0.000	0.328
chr1	1095	+	CHH	0.000	9.00	0	9	7	7	0.000	0.299
chr1	1096	+	CHH	0.000	7.88	0	9	7	8	-0.000	0.328
chr1	1097	+	CHH	0.000	8.00	0	8	7	7	0.000	0.324
chr1	1103	-	CHH	0.111	9.00	1	9	10	10	0.020	0.435
chr1	1105	-	CHH	0.000	8.25	0	9	11	12	0.000	0.318
chr1	1108	-	CHH	0.000	10.00	0	10	12	12	-0.000	0.278
chr1	1110	+	CHH	0.000	13.00	0	13	10	10	0.000	0.228
chr1	1129	+	CHH	0.271	14.77	4	16	12	13	0.111	0.526
chr1	1140	-	CHH	0.118	17.00	2	17	19	19	0.033	0.343
chr1	1146	-	CHH	0.053	19.00	1	19	19	19	0.009	0.246
chr1	1147	-	CHH	0.053	19.00	1	19	21	21	0.009	0.246
chr1	1152	-	CHH	0.052	19.25	1	21	22	24	0.009	0.244
chr1	1154	-	CHH	0.047	21.08	1	22	23	24	0.008	0.226
chr1	1162	+	CHH	0.043	23.00	1	23	24	24	0.008	0.210
